vibration,label
80,Small Leak
110,Small Leak
136,Small Leak
1842,Critical Leak
33,Normal
44,Normal
34,Normal
127,Small Leak
23,Normal
49,Normal
1984,Critical Leak
45,Normal
16,Normal
93,Small Leak
7,Normal
40,Normal
44,Normal
18,Normal
30,Normal
33,Normal
10,Normal
14,Normal
23,Normal
42,Normal
5,Normal
49,Normal
5,Normal
196,Small Leak
20,Normal
155,Small Leak
3057,Critical Leak
30,Normal
26,Normal
91,Small Leak
20,Normal
48,Normal
126,Small Leak
45,Normal
24,Normal
44,Normal
16,Normal
19,Normal
20,Normal
9,Normal
162,Small Leak
26,Normal
23,Normal
134,Small Leak
89,Small Leak
22,Normal
20,Normal
3894,Critical Leak
35,Normal
108,Small Leak
6,Normal
188,Small Leak
173,Small Leak
178,Small Leak
26,Normal
142,Small Leak
23,Normal
193,Small Leak
30,Normal
20,Normal
48,Normal
34,Normal
82,Small Leak
12,Normal
32,Normal
5,Normal
35,Normal
36,Normal
43,Normal
3226,Critical Leak
9,Normal
5,Normal
28,Normal
28,Normal
48,Normal
156,Small Leak
20,Normal
43,Normal
21,Normal
39,Normal
44,Normal
13,Normal
34,Normal
116,Small Leak
29,Normal
33,Normal
33,Normal
23,Normal
2436,Critical Leak
8,Normal
11,Normal
133,Small Leak
40,Normal
42,Normal
12,Normal
46,Normal
9,Normal
25,Normal
30,Normal
28,Normal
17,Normal
10,Normal
27,Normal
18,Normal
38,Normal
43,Normal
35,Normal
1745,Critical Leak
49,Normal
23,Normal
34,Normal
12,Normal
18,Normal
38,Normal
41,Normal
39,Normal
28,Normal
3625,Critical Leak
47,Normal
115,Small Leak
26,Normal
31,Normal
9,Normal
39,Normal
193,Small Leak
34,Normal
17,Normal
50,Normal
1707,Critical Leak
17,Normal
2813,Critical Leak
3635,Critical Leak
31,Normal
28,Normal
18,Normal
30,Normal
37,Normal
9,Normal
39,Normal
122,Small Leak
2799,Critical Leak
49,Normal
2103,Critical Leak
20,Normal
16,Normal
29,Normal
170,Small Leak
24,Normal
34,Normal
16,Normal
37,Normal
22,Normal
27,Normal
1785,Critical Leak
3792,Critical Leak
43,Normal
20,Normal
184,Small Leak
158,Small Leak
1595,Critical Leak
41,Normal
44,Normal
15,Normal
142,Small Leak
3983,Critical Leak
46,Normal
21,Normal
101,Small Leak
93,Small Leak
38,Normal
8,Normal
97,Small Leak
6,Normal
125,Small Leak
27,Normal
6,Normal
37,Normal
8,Normal
23,Normal
1739,Critical Leak
23,Normal
16,Normal
8,Normal
19,Normal
31,Normal
5,Normal
47,Normal
45,Normal
105,Small Leak
10,Normal
93,Small Leak
36,Normal
43,Normal
43,Normal
18,Normal
2175,Critical Leak
143,Small Leak
5,Normal
26,Normal
2449,Critical Leak
12,Normal
26,Normal
12,Normal
104,Small Leak
29,Normal
26,Normal
16,Normal
1661,Critical Leak
9,Normal
166,Small Leak
99,Small Leak
6,Normal
26,Normal
2609,Critical Leak
28,Normal
3409,Critical Leak
107,Small Leak
23,Normal
3626,Critical Leak
37,Normal
159,Small Leak
20,Normal
43,Normal
50,Normal
162,Small Leak
37,Normal
2537,Critical Leak
50,Normal
47,Normal
29,Normal
35,Normal
146,Small Leak
19,Normal
46,Normal
22,Normal
44,Normal
29,Normal
27,Normal
40,Normal
34,Normal
40,Normal
44,Normal
197,Small Leak
111,Small Leak
165,Small Leak
31,Normal
17,Normal
147,Small Leak
6,Normal
3897,Critical Leak
3293,Critical Leak
25,Normal
18,Normal
37,Normal
3736,Critical Leak
6,Normal
184,Small Leak
20,Normal
40,Normal
12,Normal
19,Normal
18,Normal
19,Normal
23,Normal
33,Normal
24,Normal
13,Normal
8,Normal
9,Normal
43,Normal
48,Normal
7,Normal
150,Small Leak
26,Normal
126,Small Leak
34,Normal
29,Normal
97,Small Leak
161,Small Leak
27,Normal
49,Normal
38,Normal
20,Normal
19,Normal
135,Small Leak
34,Normal
12,Normal
36,Normal
40,Normal
32,Normal
33,Normal
25,Normal
33,Normal
2608,Critical Leak
10,Normal
14,Normal
27,Normal
15,Normal
28,Normal
46,Normal
12,Normal
159,Small Leak
11,Normal
46,Normal
33,Normal
96,Small Leak
11,Normal
18,Normal
49,Normal
109,Small Leak
5,Normal
98,Small Leak
43,Normal
146,Small Leak
10,Normal
46,Normal
35,Normal
32,Normal
39,Normal
32,Normal
48,Normal
34,Normal
22,Normal
29,Normal
39,Normal
2387,Critical Leak
30,Normal
2398,Critical Leak
3409,Critical Leak
44,Normal
145,Small Leak
20,Normal
24,Normal
16,Normal
3031,Critical Leak
35,Normal
116,Small Leak
21,Normal
2107,Critical Leak
15,Normal
28,Normal
3180,Critical Leak
41,Normal
82,Small Leak
31,Normal
185,Small Leak
189,Small Leak
5,Normal
5,Normal
28,Normal
49,Normal
15,Normal
189,Small Leak
35,Normal
90,Small Leak
48,Normal
119,Small Leak
29,Normal
33,Normal
26,Normal
43,Normal
36,Normal
104,Small Leak
34,Normal
31,Normal
27,Normal
10,Normal
114,Small Leak
32,Normal
144,Small Leak
30,Normal
17,Normal
41,Normal
19,Normal
30,Normal
150,Small Leak
27,Normal
39,Normal
106,Small Leak
10,Normal
2350,Critical Leak
50,Normal
143,Small Leak
19,Normal
27,Normal
12,Normal
33,Normal
2883,Critical Leak
45,Normal
47,Normal
23,Normal
83,Small Leak
45,Normal
28,Normal
28,Normal
