vibration,label
979,Normal
495,Normal
482,Normal
492,Normal
468,Normal
432,Normal
460,Normal
425,Normal
467,Normal
479,Normal
450,Normal
469,Normal
480,Normal
483,Normal
511,Normal
480,Normal
417,Normal
475,Normal
504,Normal
114,Normal
433,Normal
450,Normal
475,Normal
503,Normal
475,Normal
473,Normal
476,Normal
435,Normal
434,Normal
487,Normal
461,Normal
462,Normal
436,Normal
438,Normal
422,Normal
445,Normal
422,Normal
416,Normal
387,Normal
423,Normal
427,Normal
397,Normal
400,Normal
382,Normal
374,Normal
384,Normal
384,Normal
399,Normal
379,Normal
382,Normal
390,Normal
398,Normal
397,Normal
368,Normal
369,Normal
391,Normal
395,Normal
381,Normal
369,Normal
375,Normal
379,Normal
366,Normal
385,Normal
385,Normal
369,Normal
388,Normal
384,Normal
369,Normal
369,Normal
368,Normal
373,Normal
393,Normal
401,Normal
397,Normal
398,Normal
367,Normal
381,Normal
395,Normal
386,Normal
378,Normal
375,Normal
370,Normal
387,Normal
385,Normal
381,Normal
380,Normal
368,Normal
357,Normal
354,Normal
358,Normal
362,Normal
335,Normal
352,Normal
339,Normal
328,Normal
331,Normal
338,Normal
336,Normal
336,Normal
326,Normal
347,Normal
395,Normal
407,Normal
387,Normal
367,Normal
371,Normal
363,Normal
368,Normal
331,Normal
346,Normal
339,Normal
325,Normal
324,Normal
331,Normal
321,Normal
318,Normal
315,Normal
316,Normal
289,Normal
319,Normal
304,Normal
290,Normal
295,Normal
310,Normal
282,Normal
288,Normal
290,Normal
274,Normal
251,Normal
284,Normal
259,Normal
247,Normal
260,Normal
256,Normal
225,Normal
233,Normal
244,Normal
240,Normal
214,Normal
208,Normal
203,Normal
189,Normal
206,Normal
197,Normal
183,Normal
178,Normal
155,Normal
178,Normal
150,Normal
159,Normal
167,Normal
